cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
71106,2020-05-06,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-07,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-16,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-18,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-20,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-22,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-24,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-28,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-30,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-05-31,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-01,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-04,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-13,Cuatro Cañadas,7,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-14,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-16,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-19,Cuatro Cañadas,9,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-24,Cuatro Cañadas,6,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-06-27,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-01,Cuatro Cañadas,7,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-03,Cuatro Cañadas,18,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-05,Cuatro Cañadas,8,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-06,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-07,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-08,Cuatro Cañadas,6,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-09,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-10,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-11,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-12,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-13,Cuatro Cañadas,5,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-14,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-18,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-19,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-21,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-23,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-25,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-07-31,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-01,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-03,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-04,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-10,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-16,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-17,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-22,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-08-27,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-09-03,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-09-05,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-09-11,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-09-16,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-09-21,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-12-11,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2020-12-18,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-08,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-12,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-13,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-14,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-15,Cuatro Cañadas,5,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-19,Cuatro Cañadas,5,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-20,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-25,Cuatro Cañadas,6,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-28,Cuatro Cañadas,12,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-01-30,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-02,Cuatro Cañadas,5,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-05,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-06,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-08,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-10,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-11,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-12,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-18,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-02-26,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-03,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-05,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-06,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-09,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-11,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-12,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-17,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-19,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-23,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-03-30,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-04-20,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-04-22,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-04-27,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-04-30,Cuatro Cañadas,5,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-04,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-05,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-09,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-10,Cuatro Cañadas,7,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-11,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-12,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-13,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-16,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-17,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-19,Cuatro Cañadas,13,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-20,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-21,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-22,Cuatro Cañadas,10,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-23,Cuatro Cañadas,1,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-24,Cuatro Cañadas,2,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-25,Cuatro Cañadas,4,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
71106,2021-05-26,Cuatro Cañadas,3,Cuatro Cañadas,Santa Cruz,53.591596565647706,28855,35.9
