cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
40301,2020-09-23,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-01-12,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-01-20,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-01-21,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-01-23,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-01-28,Corque,4,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-02-03,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-02-05,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-02-13,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-03-05,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-03-17,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-03-25,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-03-27,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-05-20,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-05-21,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-05-22,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-05-27,Corque,3,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-05-28,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-06-03,Corque,3,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-06-12,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-06-16,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-06-18,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-11,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-12,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-15,Corque,3,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-17,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-26,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-08-31,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-09-21,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-09-25,Corque,1,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-10-02,Corque,2,Corque,Oruro,46.4400726761043,9329,0.0
40301,2021-10-16,Corque,3,Corque,Oruro,46.4400726761043,9329,0.0
