cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
50502,2020-07-04,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-07-23,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-07-29,Toro Toro,4,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-08-05,Toro Toro,9,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-08-08,Toro Toro,4,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-08-10,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-08-13,Toro Toro,7,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-08-24,Toro Toro,7,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-09-07,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-09-10,Toro Toro,4,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-09-19,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-10-10,Toro Toro,5,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-10-12,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2020-10-19,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-14,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-16,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-17,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-24,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-27,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-03-29,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-04-01,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-04-02,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-04-10,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-07,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-15,Toro Toro,3,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-16,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-18,Toro Toro,3,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-21,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-05-26,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-06-01,Toro Toro,3,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-06-08,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-06-10,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-06-18,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-06-19,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-01,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-05,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-07,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-14,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-16,Toro Toro,3,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-17,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-18,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-07-20,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-03,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-06,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-10,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-14,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-15,Toro Toro,3,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-17,Toro Toro,2,Toro Toro,Potosí,40.5523677223145,11088,0.0
50502,2021-08-20,Toro Toro,1,Toro Toro,Potosí,40.5523677223145,11088,0.0
