cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
20202,2020-07-10,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2020-07-18,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-03-07,Villa Ancoraimes,2,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-07-16,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-08-05,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-08-08,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-08-18,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-08-23,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-03,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-09,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-10,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-11,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-18,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-20,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-09-22,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-10-23,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-10-28,Villa Ancoraimes,4,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-09,Villa Ancoraimes,1,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-11,Villa Ancoraimes,3,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-14,Villa Ancoraimes,3,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-17,Villa Ancoraimes,2,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-19,Villa Ancoraimes,4,Ancoraimes,La Paz,47.059051456023504,12864,0.0
20202,2021-11-20,Villa Ancoraimes,2,Ancoraimes,La Paz,47.059051456023504,12864,0.0
