cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
40801,2020-06-28,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-07-07,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-07-08,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-07-17,Salinas de Garcí Mendoza,3,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-08-01,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-08-02,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-08-25,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-08-30,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2020-09-13,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-01,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-15,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-16,Salinas de Garcí Mendoza,8,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-21,Salinas de Garcí Mendoza,9,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-27,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-01-31,Salinas de Garcí Mendoza,11,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-02-06,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-02-11,Salinas de Garcí Mendoza,5,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-03-06,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-04-16,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-04-22,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-04-30,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-06,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-08,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-13,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-17,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-20,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-22,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-23,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-25,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-26,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-27,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-29,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-05-31,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-01,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-02,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-03,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-04,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-05,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-14,Salinas de Garcí Mendoza,7,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-06-19,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-05,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-16,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-18,Salinas de Garcí Mendoza,3,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-20,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-21,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-07-22,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-09-03,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-09-18,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-09-21,Salinas de Garcí Mendoza,2,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-10-12,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
40801,2021-10-15,Salinas de Garcí Mendoza,1,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0.0
