cod_ine,fecha,municipio,confirmados,departamento,poblacion
30303,2021-06-11,Cocapata,9,Cochabamba,20406
30303,2021-06-12,Cocapata,1,Cochabamba,20406
30303,2021-07-05,Cocapata,2,Cochabamba,20406
30303,2021-07-08,Cocapata,1,Cochabamba,20406
30303,2021-07-20,Cocapata,1,Cochabamba,20406
30303,2021-07-29,Cocapata,1,Cochabamba,20406
30303,2021-08-12,Cocapata,1,Cochabamba,20406
30303,2021-08-16,Cocapata,2,Cochabamba,20406
30303,2021-08-22,Cocapata,2,Cochabamba,20406
30303,2021-08-28,Cocapata,6,Cochabamba,20406
30303,2021-08-30,Cocapata,1,Cochabamba,20406
30303,2021-09-29,Cocapata,3,Cochabamba,20406
30303,2021-10-18,Cocapata,16,Cochabamba,20406
30303,2021-10-22,Cocapata,1,Cochabamba,20406
30303,2021-10-24,Cocapata,3,Cochabamba,20406
30303,2021-10-26,Cocapata,11,Cochabamba,20406
30303,2021-10-28,Cocapata,1,Cochabamba,20406
30303,2021-11-11,Cocapata,1,Cochabamba,20406
30303,2021-11-15,Cocapata,6,Cochabamba,20406
30303,2021-11-18,Cocapata,1,Cochabamba,20406
30303,2021-11-28,Cocapata,1,Cochabamba,20406
30303,2021-12-13,Cocapata,4,Cochabamba,20406
30303,2021-12-19,Cocapata,7,Cochabamba,20406
30303,2021-12-20,Cocapata,6,Cochabamba,20406
30303,2021-12-27,Cocapata,2,Cochabamba,20406
30303,2022-01-02,Cocapata,1,Cochabamba,20406
30303,2022-01-08,Cocapata,3,Cochabamba,20406
30303,2022-01-09,Cocapata,1,Cochabamba,20406
30303,2022-01-16,Cocapata,9,Cochabamba,20406
30303,2022-01-18,Cocapata,4,Cochabamba,20406
30303,2022-01-19,Cocapata,9,Cochabamba,20406
30303,2022-01-23,Cocapata,13,Cochabamba,20406
30303,2022-01-24,Cocapata,3,Cochabamba,20406
30303,2022-01-30,Cocapata,5,Cochabamba,20406
30303,2022-02-06,Cocapata,2,Cochabamba,20406
30303,2022-02-10,Cocapata,6,Cochabamba,20406
30303,2022-02-13,Cocapata,6,Cochabamba,20406
30303,2022-02-17,Cocapata,2,Cochabamba,20406
